title,type,country,release_year,rating
Conversations with a Killer: The Ted Bundy Tapes,1,549,0.8408163119785221,9
Convict,0,669,-0.6708069887497644,7
Cook Off,0,681,0.23616699168720753,8
Cooked,1,549,-0.0661576684584498,7
Cooked with Cannabis,1,549,1.1431409721241794,9
Cooking on High,1,549,0.5384916518328648,9
Cop and a Half: New Recruit,0,51,0.23616699168720753,4
3022,0,549,0.8408163119785221,6
A Beautiful Life,0,97,-1.5777809691867364,7
Cop Car,0,549,-0.3684823286041071,6
Cop Watchers,0,669,-0.0661576684584498,9
Cops and Robbers,0,549,1.1431409721241794,5
Coraline,0,549,-2.182430289478051,4
"Coronavirus, Explained",1,549,1.1431409721241794,10
Cosmos Laundromat: First Cycle,0,317,-0.3684823286041071,9
Countdown to Death: Pablo Escobar,0,669,0.23616699168720753,9
Counterfeiting in Suburbia,0,51,0.5384916518328648,7
Counterpunch,0,549,0.23616699168720753,9
Country Ever After,1,549,1.1431409721241794,10
A Billion Colour Story,0,229,-0.0661576684584498,7
Couple of Days,0,330,-0.0661576684584498,7
Couples Counseling,0,39,-0.0661576684584498,9
Court Justice,1,12,0.23616699168720753,9
Covered: Alive in Asia,0,549,-0.0661576684584498,8
Cowspiracy: The Sustainability Secret,0,549,-0.6708069887497644,10
"Crack: Cocaine, Corruption & Conspiracy",0,549,1.4454656322698367,9
Cracked Up: The Darrell Hammond Story,0,549,0.5384916518328648,9
Craig Ferguson: Tickle Fight,0,549,0.23616699168720753,9
Crash Landing on You,1,394,0.8408163119785221,7
A Boy Called Po,0,549,-0.0661576684584498,4
Crashing,1,462,-0.0661576684584498,9
Crazy Awesome Teachers,0,249,1.1431409721241794,10
Crazy Beautiful You,0,350,-0.3684823286041071,7
Crazy Delicious,1,462,1.1431409721241794,10
Crazy Ex-Girlfriend,1,549,0.8408163119785221,9
Crazy people,0,330,0.5384916518328648,9
"Crazy, Lovely, Cool",1,330,0.5384916518328648,9
Crazyhead,1,462,-0.0661576684584498,9
CRD,0,229,-0.0661576684584498,9
Creating The Queen's Gambit,0,669,1.4454656322698367,7
A Boy Name Flora A,1,439,0.23616699168720753,9
Creators,1,0,-0.3684823286041071,11
Creep,0,549,-0.6708069887497644,6
Creep 2,0,549,0.23616699168720753,9
Creeped Out,1,469,0.8408163119785221,10
Cricket Fever: Mumbai Indians,1,229,0.8408163119785221,9
Crime Diaries: Night Out,1,308,0.8408163119785221,9
Crime Diaries: The Candidate,1,308,0.8408163119785221,9
Crime Time,1,147,0.23616699168720753,9
